id,scene,emotion,zh,en,note
01,combat-start,determined,来吧，我一向喜欢主动开场。,Come on. I like opening with the first move.,
02,combat-start,calm,别拖太久，速战速决。,Don't drag it out. Quick and clean.,
03,combat-start,tense,这一仗躲不过去了。,No getting around this one.,
04,combat-start,wry,又是这种活。行吧，动起来。,This kind of work again. Fine. Let's move.,
05,combat-start,flat,准备好了？那就别愣着。,Ready? Then stop standing there.,
06,boss,grave,这家伙……不在同一个量级。,This one's on a whole different level.,
07,boss,defiant,大也好。我打的从来都是大块头。,Big deal. I've always had a thing for big targets.,
08,boss,wary,别急着上，先看清它的路数。,Hold on. Let's read its moves before we commit.,
09,boss,flat,它不怕我。我也不怕它。公平。,It's not scared of me. I'm not scared of it. Even.,
10,boss,bitter,又一个以为体型能解决一切的。,Another one who thinks size settles everything.,
11,low-hp,strained,还没倒下……就还能打。,Still on my feet. Still in this.,
12,low-hp,bitter,一点点血，撑到下次抬手就够。,A sliver's all I need to land the next blow.,
13,low-hp,resolute,痛归痛，倒不下就行。,It hurts. But hurt isn't down.,
14,low-hp,wry,别催，我自己有数。,Don't rush me. I know the count.,
15,low-hp,defiant,留这点血，够送你上路了。,This last sliver's enough to see you off.,
16,victory,relieved,收工。下一场什么时候来？,Done. When's the next one?,
17,victory,flat,嗯，结束了。,Yeah. It's done.,
18,victory,amused,比我想的脆。,Thought you'd put up more of a fight.,
19,victory,steady,一场结束，下一场照旧。,One down. Same routine for the next.,
20,victory,dry,别躺太久，地上凉。,Don't lie there too long. Ground's cold.,
21,death,regret,这次……换我倒在前面了。,"This time, I'm the one who goes down first.",
22,death,bitter,别……停下。替我打完。,Don't... stop. Finish it for me.,
23,death,calm,嘿，至少我没退。,Hah. At least I didn't flinch.,
24,death,tired,这次没扛住……下次会。,"Didn't hold this time. Next time, I will.",
25,death,wry,倒得……不算难看吧。,Not a bad way to go down. Was it?,
26,respawn,wry,又站起来了。看来还没轮到我歇着。,Back up. Guess it's not my turn to rest yet.,
27,respawn,determined,重来一遍也没关系，结果不会变。,Going again changes nothing. Same ending.,
28,respawn,steady,喘口气，然后接着来。,One breath. Then back to it.,
29,respawn,flat,没死成就行。继续。,Not dead yet. Good enough. Move on.,
30,respawn,bitter,醒来第一件事——记住刚才怎么倒的。,First thing back on my feet—remember how I went down.,
31,exploration,musing,这地方……以前应该有人住过。,Someone lived here once. You can feel it.,
32,exploration,flat,没动静。也许是好事。,Nothing moving. Could be a good sign.,
33,exploration,wry,走了这么久，连个岔路都没有——这不叫探索，叫赶路。,This long without a fork in the road isn't exploring. It's commuting.,
34,exploration,wary,墙上有划痕。新的。,Marks on the wall. Fresh ones.,
35,exploration,tired,歇一会儿。腿不是铁打的。,Short rest. Legs aren't made of iron.,
36,exploration,musing,风里有味儿。不是这地方该有的。,Something in the wind. Doesn't belong here.,
37,exploration,flat,路到头了。要么回头，要么翻墙。,"Road ends here. Back, or over the wall.",
38,exploration,dry,又一条死路。这地方的特产。,Another dead end. Local specialty.,
39,exploration,wary,太静了。静得像有人在听。,Too quiet. Quiet like someone's listening.,
40,exploration,steady,走慢点，看清脚下。,Slow down. Watch the footing.,
41,level-up,steady,力量回来了。但别因此乱来。,Strength's back. Don't get reckless with it.,
42,level-up,confident,比昨天强一点，就够了。,A little sharper than yesterday. That's enough.,
43,level-up,flat,升了一档。别浪费。,One step up. Don't waste it.,
44,level-up,wry,终于跟得上自己的手了。,Finally keeping up with my own hands.,
45,level-up,resolute,强一点，就多担一点。,Stronger means more to carry. Fine.,
46,equip,appraising,顺手。就先信它一阵。,Feels right. I'll trust it for now.,
47,equip,flat,趁手就行，好不好看无所谓。,"As long as it handles, I don't care how it looks.",
48,equip,wry,这玩意儿……比我前一把沉三倍。赌它值。,This one's three times the weight of the last. Betting it's worth it.,
49,equip,dry,新刀旧刀，砍得断就行。,"New blade, old blade—cuts the same.",
50,equip,steady,换装备也是换习惯。慢点来。,New gear means new habits. Take it slow.,
51,npc-talk,measured,把话说完，我再决定帮不帮。,Finish what you're saying. Then I decide if I'm in.,
52,npc-talk,dry,又是“只有你能办到”？这话我今年听了不下十回。,“Only you can do this.” Tenth time I've heard that this year.,
53,npc-talk,guarded,报酬先说清楚。我不接口头承诺。,Name the price first. I don't take promises.,
54,npc-talk,tired,等等——你刚才说“最后一趟”？上次你也这么说。,Wait—did you just say “one last errand”? That's what you said last time.,
55,npc-talk,flat,救急可以。但别养成习惯。,Bailing you out once is fine. Don't make it a habit.,
56,npc-talk,wry,你这年纪还干这行？比我还能熬。,You're still in this line at your age? Outlasting me already.,
57,npc-talk,guarded,别套近乎。说重点。,Skip the charm. Get to the point.,
58,npc-talk,dry,“包在我身上”——这话从我嘴里说出来，我自己都不太信。,“Consider it done.” Even I don't believe me when I say that.,
59,npc-talk,tired,又是催命的活。行，加钱。,Another rush job. Fine. Extra cost.,
60,npc-talk,steady,帮你可以。问归问，事归事。,"I'll help. Ask your questions, but the job still gets done.",
61,hit-react,strained,唔——找准位置了是吧。,Ngh—so you found the spot.,
62,hit-react,irritated,别再打同一个地方。,Don't keep hitting the same place.,
63,hit-react,bitter,这一下，记账了。,That one goes on the tab.,
64,hit-react,defiant,就这？,That all?,
65,hit-react,strained,还……还站着。,Still... still standing.,
66,quest-accept,flat,行，接了。别中途改条件。,Fine. Taken. Don't change terms mid-way.,
67,quest-accept,wry,又是没人愿意干的活。加钱。,Another job no one wants. Extra.,
68,quest-accept,steady,条件清楚就走。,Terms clear? Then I'm moving.,
69,quest-accept,guarded,先付一半。回来再结。,Half up front. The rest when I'm back.,
70,quest-accept,dry,帮你这一次，下不为例……大概。,Helping this once. Never again... probably.,
71,quest-complete,flat,办完了。结账。,Done. Settle up.,
72,quest-complete,wry,比预想的麻烦。加价的事一会儿说。,Trickier than billed. We'll talk about the extra.,
